,Date,MUB,VTEB,SHM,TFI,SUB,ITM,PZA,FMB,MUNI,SMB,MEAR,SHYD,MLN,SMMU,PVI,RVNU,PRB,BSCK,BSCJ,BSCL,BSCM,IBDL,IBDM,IBDK,IBDN,BSCN,IBDO,IBDP,BSCO,IBDQ,BSCP,IBDC,IBCD,IBDD,IBCE
24,2017-12-01,106.90061999999999,50.034302000000004,46.967762,47.344433,102.727486,46.577625,24.746634,51.690231,51.609867,16.881823999999998,48.785038,23.134096,19.471684,48.560767999999996,24.538822,26.048891,23.812061,20.613049,20.499392999999998,20.368198,20.368944,24.427114000000003,23.853754000000002,24.096977,23.943748,19.949202,23.940579999999997,23.854035999999997,19.967918,23.784855,19.781271,25.235239,23.865892000000002,25.307270000000003,23.280893
25,2018-01-01,105.88153100000001,49.558475,47.150246,46.825123,103.120819,46.013233,24.35644,51.005482,51.206505,16.976886999999998,48.838837,23.226658,19.096157,48.688301,24.552614000000002,25.738064,23.989691,20.647686,20.568426000000002,20.362935999999998,20.309652,24.434587,23.81109,24.13765,23.828135,19.902964,23.820656,23.701956,19.816658,23.564493,19.615822,25.253448000000002,23.80542,25.181288000000002,23.058128
26,2018-02-01,105.049728,49.160839,47.120796,46.349697,102.963768,45.527649,24.130272,50.812794,50.955395,16.918009,48.799591,23.293953,18.826653,48.629726,24.563406,25.323864,23.920923000000002,20.492073,20.500122,20.178787,20.106648999999997,24.308743,23.637356,24.059912,23.568296,19.695591,23.561628,23.386312,19.56679,23.164412,19.221968,25.185488,23.746931,24.864119,22.903961
27,2018-03-01,105.55401599999999,49.372913,47.003792,46.685165000000005,103.031418,45.791378,24.299023000000002,51.009541,51.090363,16.917942,48.810356,23.338486,19.185910999999997,48.602290999999994,24.548544,25.466791,23.966085,20.522017,20.505905,20.22212,20.124648999999998,24.313364,23.666019,24.106507999999998,23.641977,19.714472,23.541767,23.390276,19.530569,23.237995,19.294242999999998,25.198984,23.802492,24.866245000000003,22.965422
28,2018-04-01,104.831284,49.171684,46.869778000000004,46.425621,102.61842299999999,45.522648,24.189581,50.861198,51.024475,16.797935,48.954838,23.406086,18.903204000000002,48.547356,24.633556,25.224131,23.842073000000003,20.534697,20.552818,20.189958999999998,20.056642999999998,24.311348000000002,23.629145,24.147469,23.531813,19.619375,23.447092,23.174725,19.3855,22.958599,19.127075,25.244722,23.801548,24.783039000000002,22.834763
29,2018-05-01,106.140808,49.74929,47.138504,46.948917,103.218315,46.141201,24.487417,51.346706,51.403145,16.945469,49.030716,23.644495000000003,19.302931,48.894141999999995,24.666245,25.573534,23.977907000000002,20.629545,20.644028,20.269807999999998,20.178995,24.425156,23.747456,24.226566000000002,23.682598000000002,19.685184,23.593618,23.353308,19.567997000000002,23.120356,19.223295,25.327692000000003,23.925864999999998,24.9802,22.877991
30,2018-06-01,106.27746599999999,49.792179,47.31422,46.899879,103.451263,46.134407,24.464481,51.418385,51.494316,17.014626,49.233715000000004,23.822746,19.302835,49.020148999999996,24.67415,25.778328,24.064854,20.626728,20.617611,20.280693,20.135412,24.422354000000002,23.71937,24.237385,23.640089,19.653195999999998,23.526978,23.268539,19.482159,23.107101,19.21092,25.293535000000002,23.874016,24.896084,22.911037
31,2018-07-01,106.42381999999999,49.932018,47.473507,46.985806,103.812248,46.246002000000004,24.568783,51.646236,51.594807,17.095627,49.30785,23.926233,19.273467999999998,49.004517,24.70587,25.905314999999998,24.094568,20.685570000000002,20.710972,20.323706,20.210558,24.461351,23.763094,24.301026999999998,23.707031,19.751585000000002,23.619907,23.392218,19.592935999999998,23.25214,19.373386,25.455986,23.979971,24.948269,23.003592
32,2018-08-01,106.592995,49.991904999999996,47.463688,47.133961,103.801682,46.432713,24.595015,51.688,51.676952,17.058146,49.248631,23.907808,19.242979000000002,49.183525,24.7029,25.809162,24.09358,20.741671,20.763251999999998,20.403195999999998,20.322247,24.559251999999997,23.894079,24.363884,23.86125,19.875881,23.753436999999998,23.581924,19.718988,23.424286,19.472273,25.502317,24.008619,25.166744,23.174657999999997
33,2018-09-01,105.866096,49.608795,47.204291999999995,46.671101,103.485344,45.895393,24.334754999999998,51.317291,51.471046,16.990783999999998,49.383938,23.792122,18.979204,48.996390999999996,24.716753,25.603279,23.935098999999997,20.776239,20.811651,20.406214000000002,20.299774,24.566221,23.868776,24.387518,23.800829,19.846577,23.733116,23.492599,19.689739000000003,23.291134,19.39603,25.508219,24.08547,25.081073999999997,23.052519
34,2018-10-01,105.263573,49.362804,47.103912,46.285992,103.339409,45.572567,24.11515,51.029076,51.15995,17.012468,49.396908,23.602232,18.773075,49.069061,24.780314999999998,25.288774,23.925932,20.760397,20.830385,20.396261,20.223873,24.569086,23.84798,24.430827999999998,23.741737,19.762842000000003,23.586054,23.333801,19.573729999999998,23.131351000000002,19.194389,25.533749,24.083561,25.034648999999998,23.007939999999998
35,2018-11-01,106.42112,49.831474,47.405293,46.968872,103.90763100000001,46.216167,24.349979,51.411792999999996,51.680797999999996,17.103739,49.446404,23.804256,19.057053,49.158031,24.814157,25.602903,24.035089000000003,20.776175,20.86105,20.394262,20.206042999999998,24.599531,23.851754999999997,24.464384,23.736546,19.747101,23.6287,23.311598,19.513544,23.111094,19.173454,25.590931,24.075584,25.040267999999998,23.022469
36,2018-12-01,107.654427,50.441925,47.724319,47.574089,104.54502099999999,47.015602,24.723269000000002,52.038078000000006,52.115887,17.186285,49.551556,23.88162,19.317448000000002,49.33429,24.819155,25.889298999999998,24.264817999999998,20.885153,20.895746,20.545675,20.39187,24.660698,24.028208,24.520723,23.817184,19.943649,23.811741,23.500120000000003,19.725707999999997,23.190424,19.423182999999998,25.641363000000002,24.154728,25.222382999999997,23.236393
37,2019-01-01,108.51093300000001,50.88327,48.031139,48.078648,105.05503799999998,47.514153,24.88505,52.334076,52.780464,17.32761,49.726616,24.195349,19.485301999999997,49.637104,24.814156,26.113556,24.385507999999998,21.012435999999997,20.971273,20.766394000000002,20.738543,24.956974,24.350506,24.676486999999998,24.396244,20.348719,24.393829,24.203460999999997,20.220901,24.13891,20.022776,25.836775,24.341532,25.755678,23.695677
38,2019-02-01,108.867828,51.071766,48.170479,48.197753999999996,105.04508200000001,47.692768,25.03043,52.72251899999999,52.958847,17.397238,49.714676000000004,24.195349,19.594215,49.716564,24.874022,26.271998999999997,24.445227,21.096167,20.979193,20.842274,20.828508,24.937148999999998,24.350506,24.666567,24.416045999999998,20.439724,24.40867,24.203460999999997,20.307049,24.13891,20.057261999999998,25.846695,24.351467,25.785395,23.665945
39,2019-03-01,110.472183,51.844612,48.30315,49.00444,105.569946,48.523392,25.593923999999998,53.613422,53.614948,17.490963,49.84013,24.506892999999998,20.163372,50.124714000000004,24.876009,27.003069,24.563955,21.175998999999997,21.033035,20.982979,21.071955,25.067235999999998,24.547119,24.714266000000002,24.725788,20.747923,24.812498,24.671505,20.677,24.656429,20.506948,25.9163,24.400244,26.205509,23.979776
40,2019-04-01,111.06975600000001,52.081921,48.398033,49.290825,105.64827700000001,48.72097,25.70364,53.86158399999999,53.929836,17.483074,49.856171,24.567179,20.320837,50.120274,24.866018,27.179888000000002,24.53511,21.175998999999997,21.043016,21.002932,21.081932000000002,25.139088,24.625088,24.751117999999998,24.7672,20.757898,24.840273,24.773101999999998,20.736847,24.779058,20.566793,25.98806,24.481001000000003,26.214268,24.033117
41,2019-05-01,111.96360800000001,52.497391,48.471977,49.648502,105.88586399999998,49.206257,26.02,54.450001,54.13480799999999,17.526974,49.936981,24.774632,20.502699,50.259907,24.92,27.445532,24.58,21.209999,21.1,21.049999,21.139999,25.165066,24.653069,24.790020000000002,24.81304,20.83,24.896025,24.853973,20.82,24.85,20.639999,25.979118,24.490049,26.286976,24.077021
42,2019-05-15,112.410004,52.689999,48.549999,49.849998,106.08000200000001,49.380001,26.1,54.509997999999996,54.360401,17.57,50.037701,24.83,20.620001000000002,50.330002,24.905001000000002,27.58,,21.209999,21.110001,21.07,21.17,25.235001,24.73,24.84,24.91,20.870001000000002,25.02,24.950001,20.860001,24.98,20.709999,26.030001000000002,24.549801000000002,26.344998999999998,24.16
